"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","erea","en11madz_d_clicked","0",1275,8636.60493999999,80.0769472135732,1.02324070504369,447.600052423313,"4.81880771774884",3980,1557
"Abu Dhabi, UAE","erea","en11madz_d_clicked","1",282,2148.777421,19.9230527864268,1.02324070504369,361.555321881619,"7.37623576124092",3980,1557
"Abu Dhabi, UAE","erea","en11radz_d_clicked","0",1385,9477.17957099999,89.0242841915008,0.876697958920769,443.993607370425,"4.95643481760826",3980,1547
"Abu Dhabi, UAE","erea","en11radz_d_clicked","1",162,1168.432081,10.9757158084992,0.876697958920766,364.555146792552,"9.56008831188488",3980,1547
"Abu Dhabi, UAE","erea","en11badz_d_clicked","0",1288,8793.65706799999,80.1702914831807,1.15980457498785,453.460839068133,"4.49884464282007",3980,1576
"Abu Dhabi, UAE","erea","en11badz_d_clicked","1",288,2175.065766,19.8297085168193,1.15980457498785,355.351866447704,"6.74580714171153",3980,1576
"Abu Dhabi, UAE","erea","en11zadz_d_clicked","0",1295,8721.61828199999,80.586558328494,1.30655605725178,447.680101844106,"4.66005134245012",3980,1566
"Abu Dhabi, UAE","erea","en11zadz_d_clicked","1",271,2101.052971,19.413441671506,1.30655605725178,353.496964998426,"6.7781738469376",3980,1566
"Abu Dhabi, UAE","erea","en11tadz_d_clicked","0",1343,9002.19658599999,82.7387890522818,1.31842633543423,446.329076628375,"4.93546111022141",3980,1575
"Abu Dhabi, UAE","erea","en11tadz_d_clicked","1",232,1878.064884,17.2612109477182,1.31842633543423,352.582249523074,"8.73170377484386",3980,1575
"Dubai, UAE","erea","en11madz_d_clicked","0",2610,7536.04088699999,88.5818239386566,0.643243965700592,534.983948334889,"1.84536969236873",7521,2964
"Dubai, UAE","erea","en11madz_d_clicked","1",354,971.393879999999,11.4181760613434,0.643243965700595,495.069404864803,"7.56003911754157",7521,2964
"Dubai, UAE","erea","en11radz_d_clicked","0",2731,7937.53499199999,91.5794743671474,0.505810874747897,533.492442957806,"2.02988134083259",7521,2998
"Dubai, UAE","erea","en11radz_d_clicked","1",267,729.838397999999,8.42052563285265,0.505810874747897,489.684090485261,"8.97871385870731",7521,2998
"Dubai, UAE","erea","en11badz_d_clicked","0",2631,7700.98880599999,90.0494983787214,0.790912284387853,537.041856457151,"1.64199150114966",7521,2960
"Dubai, UAE","erea","en11badz_d_clicked","1",329,850.962003999999,9.95050162127862,0.790912284387852,460.044255588035,"6.21212193376535",7521,2960
"Dubai, UAE","erea","en11zadz_d_clicked","0",2680,7878.63117199999,91.4844069202916,0.456797317978449,531.225294632925,"2.07289603707523",7521,2973
"Dubai, UAE","erea","en11zadz_d_clicked","1",293,733.362321999999,8.51559307970838,0.456797317978444,446.386253099044,"7.3255811303072",7521,2973
"Dubai, UAE","erea","en11tadz_d_clicked","0",2752,8022.37951399999,93.3587297050932,0.543145805319103,530.806961179399,"1.97780317178881",7521,2981
"Dubai, UAE","erea","en11tadz_d_clicked","1",229,570.688899999999,6.64127029490679,0.5431458053191,460.885909487509,"9.84753890443683",7521,2981
